jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|vaccine_date_timeOfDay:radius,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=vaccine_name, 
1003,  1900,  completed,  eof,  2016-02-22 01:24:59,  2016-02-22 01:25:06,  7,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  459,  None,  None,  1,  0.1,  12,  16,  5,  0.0003,  0.696506550218, 
1003,  1901,  completed,  eof,  2016-02-22 01:25:00,  2016-02-22 01:25:06,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_4.75.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  459,  None,  4.75,  None,  0.025075,  10,  13,  2,  0.075075,  0.554585152838, 
1003,  1902,  completed,  eof,  2016-02-22 01:25:00,  2016-02-22 01:25:07,  7,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  459,  None,  None,  1,  0.025075,  10,  13,  2,  0.075075,  0.569868995633, 
1003,  1903,  completed,  eof,  2016-02-22 01:25:06,  2016-02-22 01:25:12,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_2.25.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  459,  None,  2.25,  None,  0.075025,  11,  15,  4,  0.025225,  0.61135371179, 
1003,  1904,  completed,  eof,  2016-02-22 01:25:06,  2016-02-22 01:25:13,  7,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  459,  None,  None,  1,  0.075025,  11,  15,  4,  0.025225,  0.613537117904, 
1003,  1905,  completed,  eof,  2016-02-22 01:25:07,  2016-02-22 01:25:13,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_4.76250537761.modelParams|clParams|alpha_0.0328351247259.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0801133922224,  459,  None,  4.76250537761,  None,  0.0328351247259,  10,  13,  2,  0.0801133922224,  0.554585152838, 
1003,  1906,  completed,  eof,  2016-02-22 01:25:07,  2016-02-22 01:25:13,  6,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.00958991421899.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0993746412176,  459,  None,  None,  1,  0.00958991421899,  9,  12,  1,  0.0993746412176,  0.532751091703, 
1003,  1907,  completed,  eof,  2016-02-22 01:25:12,  2016-02-22 01:25:18,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_3.78751613283.modelParams|clParams|alpha_0.0273048752741.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0700366077776,  459,  None,  3.78751613283,  None,  0.0273048752741,  10,  13,  2,  0.0700366077776,  0.569868995633, 
1003,  1908,  completed,  eof,  2016-02-22 01:25:13,  2016-02-22 01:25:19,  6,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.095015,  459,  None,  None,  1,  0.0001,  9,  12,  1,  0.095015,  0.532751091703, 
1003,  1916,  completed,  eof,  2016-02-22 01:25:14,  2016-02-22 01:25:20,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_4.73749462239.modelParams|clParams|alpha_0.0283753741777.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0802201766672,  459,  None,  4.73749462239,  None,  0.0283753741777,  10,  13,  2,  0.0802201766672,  0.565502183406, 
